count_id;site_id;site_name;longitude_epsg_4326;latitude_epsg_4326;species_id;common_name;year;penguin_sum
ADAM_2011_ADEL;ADAM;Adams Island;92,549;-66,546;ADEL;adelie penguin;2011;425
ADAR_1982_ADEL;ADAR;Cape Adare;170,2;-71,306;ADEL;adelie penguin;1982;220900
AITC_2009_CHIN;AITC;Barrientos Island (Aitcho Islands);-59,752;-62,407;CHIN;chinstrap penguin;2009;8307
AITC_2010_CHIN;AITC;Barrientos Island (Aitcho Islands);-59,752;-62,407;CHIN;chinstrap penguin;2010;4870
AITC_2002_GENT;AITC;Barrientos Island (Aitcho Islands);-59,752;-62,407;GENT;gentoo penguin;2002;1236
AITC_2006_GENT;AITC;Barrientos Island (Aitcho Islands);-59,752;-62,407;GENT;gentoo penguin;2006;2483
AITC_2008_GENT;AITC;Barrientos Island (Aitcho Islands);-59,752;-62,407;GENT;gentoo penguin;2008;2742
AITC_2014_GENT;AITC;Barrientos Island (Aitcho Islands);-59,752;-62,407;GENT;gentoo penguin;2014;2297
AITC_2007_KING;AITC;Barrientos Island (Aitcho Islands);-59,752;-62,407;KING;king penguin;2007;1
AITC_2008_KING;AITC;Barrientos Island (Aitcho Islands);-59,752;-62,407;KING;king penguin;2008;2
AITC_2009_KING;AITC;Barrientos Island (Aitcho Islands);-59,752;-62,407;KING;king penguin;2009;1
AKAR_1975_ADEL;AKAR;Akarui Point;41,39;-68,5;ADEL;adelie penguin;1975;58
AKAR_1981_ADEL;AKAR;Akarui Point;41,39;-68,5;ADEL;adelie penguin;1981;211
AKAR_1984_ADEL;AKAR;Akarui Point;41,39;-68,5;ADEL;adelie penguin;1984;187
ALMI_2006_GENT;ALMI;Brown Station;-62,87;-64,896;GENT;gentoo penguin;2006;121
ALMI_2009_GENT;ALMI;Brown Station;-62,87;-64,896;GENT;gentoo penguin;2009;165
ALMI_2010_GENT;ALMI;Brown Station;-62,87;-64,896;GENT;gentoo penguin;2010;228
ALMI_2012_GENT;ALMI;Brown Station;-62,87;-64,896;GENT;gentoo penguin;2012;178
ALMI_2015_GENT;ALMI;Brown Station;-62,87;-64,896;GENT;gentoo penguin;2015;211
ALMI_2016_GENT;ALMI;Brown Station;-62,87;-64,896;GENT;gentoo penguin;2016;189
ALMI_2018_GENT;ALMI;Brown Station;-62,87;-64,896;GENT;gentoo penguin;2018;395
AMAN_1961_EMPE;AMAN;Amanda Bay;76,835;-69,271;EMPE;emperor penguin;1961;1500
AMAN_1983_EMPE;AMAN;Amanda Bay;76,835;-69,271;EMPE;emperor penguin;1983;2339
AMAN_1987_EMPE;AMAN;Amanda Bay;76,835;-69,271;EMPE;emperor penguin;1987;9000
AMAN_2009_EMPE;AMAN;Amanda Bay;76,835;-69,271;EMPE;emperor penguin;2009;6831
AMUN_2009_EMPE;AMUN;Amundsen Bay;50,544;-66,783;EMPE;emperor penguin;2009;88
ANCH_1977_ADEL;ANCH;Anchorage Island;-68,209;-67,604;ADEL;adelie penguin;1977;250
ANDI_2013_ADEL;ANDI;Andresen Island Site 2;-66,711;-66,875;ADEL;adelie penguin;2013;478
ANDI_2016_ADEL;ANDI;Andresen Island Site 2;-66,711;-66,875;ADEL;adelie penguin;2016;495
ANDR_2009_ADEL;ANDR;Andresen Island Site 1;-66,649;-66,879;ADEL;adelie penguin;2009;309
ANDR_2013_ADEL;ANDR;Andresen Island Site 1;-66,649;-66,879;ADEL;adelie penguin;2013;1104
ANDR_2016_ADEL;ANDR;Andresen Island Site 1;-66,649;-66,879;ADEL;adelie penguin;2016;1433
ANVS_2020_GENT;ANVS;Anvers Island South West (7 km south of Gerlache Island);-64,247;-64,661;GENT;gentoo penguin;2020;3115
ARDL_2010_ADEL;ARDL;Ardley Island;-58,933;-62,213;ADEL;adelie penguin;2010;522
ARDL_2011_ADEL;ARDL;Ardley Island;-58,933;-62,213;ADEL;adelie penguin;2011;592
ARDL_2012_ADEL;ARDL;Ardley Island;-58,933;-62,213;ADEL;adelie penguin;2012;432
ARDL_2013_ADEL;ARDL;Ardley Island;-58,933;-62,213;ADEL;adelie penguin;2013;525
ARDL_2014_ADEL;ARDL;Ardley Island;-58,933;-62,213;ADEL;adelie penguin;2014;177
ARDL_2015_ADEL;ARDL;Ardley Island;-58,933;-62,213;ADEL;adelie penguin;2015;307
ARDL_2016_ADEL;ARDL;Ardley Island;-58,933;-62,213;ADEL;adelie penguin;2016;545
ARDL_2018_ADEL;ARDL;Ardley Island;-58,933;-62,213;ADEL;adelie penguin;2018;338
ARDL_2017_ADEL;ARDL;Ardley Island;-58,933;-62,213;ADEL;adelie penguin;2017;398
ARDL_2019_ADEL;ARDL;Ardley Island;-58,933;-62,213;ADEL;adelie penguin;2019;307
ARDL_2010_CHIN;ARDL;Ardley Island;-58,933;-62,213;CHIN;chinstrap penguin;2010;15
ARDL_2011_CHIN;ARDL;Ardley Island;-58,933;-62,213;CHIN;chinstrap penguin;2011;19
ARDL_2012_CHIN;ARDL;Ardley Island;-58,933;-62,213;CHIN;chinstrap penguin;2012;19
ARDL_2013_CHIN;ARDL;Ardley Island;-58,933;-62,213;CHIN;chinstrap penguin;2013;18
ARDL_2014_CHIN;ARDL;Ardley Island;-58,933;-62,213;CHIN;chinstrap penguin;2014;23
ARDL_2015_CHIN;ARDL;Ardley Island;-58,933;-62,213;CHIN;chinstrap penguin;2015;27
ARDL_2016_CHIN;ARDL;Ardley Island;-58,933;-62,213;CHIN;chinstrap penguin;2016;23
ARDL_2017_CHIN;ARDL;Ardley Island;-58,933;-62,213;CHIN;chinstrap penguin;2017;18
ARDL_2018_CHIN;ARDL;Ardley Island;-58,933;-62,213;CHIN;chinstrap penguin;2018;18
ARDL_2019_CHIN;ARDL;Ardley Island;-58,933;-62,213;CHIN;chinstrap penguin;2019;12
ARDL_2010_GENT;ARDL;Ardley Island;-58,933;-62,213;GENT;gentoo penguin;2010;7276
ARDL_2011_GENT;ARDL;Ardley Island;-58,933;-62,213;GENT;gentoo penguin;2011;7159
ARDL_2012_GENT;ARDL;Ardley Island;-58,933;-62,213;GENT;gentoo penguin;2012;6923
ARDL_2013_GENT;ARDL;Ardley Island;-58,933;-62,213;GENT;gentoo penguin;2013;7206
ARDL_2014_GENT;ARDL;Ardley Island;-58,933;-62,213;GENT;gentoo penguin;2014;6359
ARDL_2015_GENT;ARDL;Ardley Island;-58,933;-62,213;GENT;gentoo penguin;2015;4869
ARDL_2016_GENT;ARDL;Ardley Island;-58,933;-62,213;GENT;gentoo penguin;2016;9627
ARDL_2017_GENT;ARDL;Ardley Island;-58,933;-62,213;GENT;gentoo penguin;2017;8022
ARDL_2018_GENT;ARDL;Ardley Island;-58,933;-62,213;GENT;gentoo penguin;2018;7295
ARDL_2019_GENT;ARDL;Ardley Island;-58,933;-62,213;GENT;gentoo penguin;2019;8903
ARMS_1984_ADEL;ARMS;Armstrong Reef;-66,197;-65,884;ADEL;adelie penguin;1984;9626
ARMS_2013_ADEL;ARMS;Armstrong Reef;-66,197;-65,884;ADEL;adelie penguin;2013;2813
ASTD_2009_EMPE;ASTD;Astrid;8,318;-69,948;EMPE;emperor penguin;2009;1368
ATKA_1986_EMPE;ATKA;Atka;-8,132;-70,614;EMPE;emperor penguin;1986;8000
ATKA_2009_EMPE;ATKA;Atka;-8,132;-70,614;EMPE;emperor penguin;2009;9657
AUST_1978_EMPE;AUST;Auster Islands;63,974;-67,397;EMPE;emperor penguin;1978;11000
AUST_1988_EMPE;AUST;Auster Islands;63,974;-67,397;EMPE;emperor penguin;1988;11000
AUST_2009_EMPE;AUST;Auster Islands;63,974;-67,397;EMPE;emperor penguin;2009;7855
AVIA_1968_ADEL;AVIA;Avian Island;-68,885;-67,773;ADEL;adelie penguin;1968;57500
AVIA_2013_ADEL;AVIA;Avian Island;-68,885;-67,773;ADEL;adelie penguin;2013;47146
BAIL_1987_CHIN;BAIL;Baily Head (Deception Island);-60,506;-62,965;CHIN;chinstrap penguin;1987;125000
BAIL_2004_MACA;BAIL;Baily Head (Deception Island);-60,506;-62,965;MACA;macaroni penguin;2004;1
BAIL_2009_MACA;BAIL;Baily Head (Deception Island);-60,506;-62,965;MACA;macaroni penguin;2009;1
BART_1987_CHIN;BART;Barton Peninsula;-58,775;-62,237;CHIN;chinstrap penguin;1987;3500
BART_2010_CHIN;BART;Barton Peninsula;-58,775;-62,237;CHIN;chinstrap penguin;2010;3963
BART_2011_CHIN;BART;Barton Peninsula;-58,775;-62,237;CHIN;chinstrap penguin;2011;4426
BART_2012_CHIN;BART;Barton Peninsula;-58,775;-62,237;CHIN;chinstrap penguin;2012;4392
BART_2013_CHIN;BART;Barton Peninsula;-58,775;-62,237;CHIN;chinstrap penguin;2013;4438
BART_2014_CHIN;BART;Barton Peninsula;-58,775;-62,237;CHIN;chinstrap penguin;2014;2824
BART_2015_CHIN;BART;Barton Peninsula;-58,775;-62,237;CHIN;chinstrap penguin;2015;3453
BART_2016_CHIN;BART;Barton Peninsula;-58,775;-62,237;CHIN;chinstrap penguin;2016;4360
BART_2017_CHIN;BART;Barton Peninsula;-58,775;-62,237;CHIN;chinstrap penguin;2017;3823
BART_2018_CHIN;BART;Barton Peninsula;-58,775;-62,237;CHIN;chinstrap penguin;2018;3262
BART_2019_CHIN;BART;Barton Peninsula;-58,775;-62,237;CHIN;chinstrap penguin;2019;2399
BART_2010_GENT;BART;Barton Peninsula;-58,775;-62,237;GENT;gentoo penguin;2010;2796
BART_2011_GENT;BART;Barton Peninsula;-58,775;-62,237;GENT;gentoo penguin;2011;2939
BART_2012_GENT;BART;Barton Peninsula;-58,775;-62,237;GENT;gentoo penguin;2012;2556
BART_2013_GENT;BART;Barton Peninsula;-58,775;-62,237;GENT;gentoo penguin;2013;2876
BART_2014_GENT;BART;Barton Peninsula;-58,775;-62,237;GENT;gentoo penguin;2014;1679
BART_2015_GENT;BART;Barton Peninsula;-58,775;-62,237;GENT;gentoo penguin;2015;1703
BART_2016_GENT;BART;Barton Peninsula;-58,775;-62,237;GENT;gentoo penguin;2016;3210
BART_2017_GENT;BART;Barton Peninsula;-58,775;-62,237;GENT;gentoo penguin;2017;2642
BART_2018_GENT;BART;Barton Peninsula;-58,775;-62,237;GENT;gentoo penguin;2018;2730
BART_2019_GENT;BART;Barton Peninsula;-58,775;-62,237;GENT;gentoo penguin;2019;2995
BEAN_1976_EMPE;BEAN;Beaufort Island North;166,881;-76,929;EMPE;emperor penguin;1976;1787
BEAN_1983_EMPE;BEAN;Beaufort Island North;166,881;-76,929;EMPE;emperor penguin;1983;179
BEAN_2000_EMPE;BEAN;Beaufort Island North;166,881;-76,929;EMPE;emperor penguin;2000;2877
BEAN_2001_EMPE;BEAN;Beaufort Island North;166,881;-76,929;EMPE;emperor penguin;2001;2705
BEAN_2002_EMPE;BEAN;Beaufort Island North;166,881;-76,929;EMPE;emperor penguin;2002;3235
BEAN_2003_EMPE;BEAN;Beaufort Island North;166,881;-76,929;EMPE;emperor penguin;2003;1247
BEAN_2004_EMPE;BEAN;Beaufort Island North;166,881;-76,929;EMPE;emperor penguin;2004;1013
